,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
Playing by Heart,3.010088,20000000,6.6,60,-4.037684398,0
Cool as Ice,2.329486,6000000,4.7,3,-4.029076444,0
Animal Kingdom,9.649312,5000000,6.7,95,-4,0
The Molly Maguires,2.27258,11000000,5.9,90,-4,0
Rock the Kasbah,10.394389,15000000,5.2,7,-3.9657956,0
The Frozen Ground,12.388833,27220000,6.1,60,-3.951836027,0
Find Me Guilty,15.295949,13000000,6.5,62,-3.930523239,0
Kundun,5.01752,28000000,6.8,74,-3.925424673,0
The Work and the Glory III: A House Divided,0.752508,6500000,7.5,80,-3.905319782,0
I Hope They Serve Beer in Hell,3.208138,7000000,5.7,19,-3.8975057,0
Christopher Columbus: The Discovery,5.996407,40000000,4.3,7,-3.847855509,0
2 Days in New York,4.68182,8000000,5.4,66,-3.837367698,0
Miracle at St. Anna,11.221186,45000000,6.3,33,-3.82634127,0
Turbulence,5.304043,55000000,5.2,17,-3.796753697,0
Mad City,4.909738,50000000,5.9,36,-3.743147646,0
Donnie Darko,18.303148,6000000,7.7,87,-3.722468403,0
Nothing but Trouble,10.39662,40000000,5,12,-3.717096278,0
Big Trouble,5.761051,40000000,6.3,48,-3.709267485,0
Timecrimes,8.623982,2600000,7,90,-3.699944685,0
An Awfully Big Adventure,0.922958,4000000,6,40,-3.697344239,0
Infinitely Polar Bear,6.502973,6700000,6.9,82,-3.683169597,0
The Homesman,7.375146,16000000,6.4,80,-3.647308497,0
Julia,2.002032,6000000,7.2,74,-3.615384615,0
The Manhattan Project,4.29831,18000000,6.1,50,-3.615384615,0
Mirrormask,5.354783,4000000,6.6,54,-3.613615471,0
The Double,5.498819,17000000,5.8,84,-3.5992784,0
Personal Shopper,11.186981,6000000,5.8,81,-3.597014239,0
The Year of Living Dangerously,13.293569,6000000,6.8,88,-3.553537074,0
Sunshine Superman,0.984906,400000,7.2,92,-3.540449732,0
The Postman,6.537407,80000000,6.1,8,-3.53868932,0
Alfie,10.411608,60000000,5.5,48,-3.478969335,0
Jonah Hex,9.482806,47000000,4.5,12,-3.45962615,0
Go Go Tales,4.382184,4000000,5.4,68,-3.407927216,0
The Canyons,4.281631,250000,4.1,21,-3.399472063,0
Elles,9.921433,4000000,5.1,23,-3.388534515,0
The Myth Of Fingerprints,0.228526,2000000,3.4,60,-3.359055393,0
Gods and Generals,5.374563,56000000,6.1,8,-3.333045289,0
Sheena,4.11214,25000000,5,22,-3.326492341,0
The Handmaiden,16.727405,8575000,8.1,96,-3.323811368,0
Dylan Dog: Dead of Night,12.763976,20000000,4.5,5,-3.315868022,0
Yossi,1.162001,500000,6.8,89,-3.302666793,0
The Messenger,5.499937,6500000,7,33,-3.272771076,0
The Midnight Meat Train,13.389735,15000000,6,73,-3.245410782,0
Powaqqatsi,2.726061,2500000,7.4,56,-3.242724576,0
Permanent Record,1.194377,8000000,5.7,47,-3.225785851,0
Universal Soldier: The Return,7.805145,45000000,4.2,5,-3.218265031,0
Repentance,1.962873,5000000,5.1,69,-3.203051079,0
A Home at the End of the World,4.136105,6500000,6.8,50,-3.196377558,0
Elle,8.226065,9804690,6.6,91,-3.187293458,0
Twelve and Holding,1.829593,400000,7,74,-3.180296174,0
Glitter,5.420686,22000000,3.4,6,-3.173253768,0
Train to Busan,22.685169,8820000,7.7,94,-3.141296141,0
Beyond the Mat,2.691433,2053648,7.8,82,-3.107296,0
The Express,4.929912,40000000,7.1,62,-3.084343323,0
Lost Highway,8.449722,15000000,7.5,68,-3.081409425,0
Deep Rising,6.922458,45000000,6,32,-3.016771897,0
Session 9,14.242234,1500000,6.2,66,-3.011049103,0
Rumble Fish,8.20519,10000000,6.8,75,-3.008851544,0
At Long Last Love,0.619076,6000000,5.6,25,-3,0
Red Rock West,5.137903,8000000,6.4,97,-3,0
Our Brand Is Crisis,12.158176,28000000,5.8,37,-2.998708417,0
Stanley & Iris,1.914881,23000000,5.7,31,-2.951879849,0
Blackhat,14.932368,70000000,5.1,33,-2.943008876,0
Bodyguards and Assassins,10.861339,23000000,6.5,57,-2.939925388,0
Mutant Chronicles,6.603748,8000000,5.1,18,-2.934751975,0
Casshern,4.664474,6000000,5.7,70,-2.921015072,0
Street Fighter: The Legend of Chun-Li,6.660188,50000000,3.9,3,-2.917205628,0
A Place Called Chiapas,0.179246,891000,6.9,86,-2.890829694,0
The Perez Family,1.433544,11000000,6.6,60,-2.883048235,0
Colonia,10.156891,14000000,7.4,29,-2.86628615,0
"War, Inc.",4.800426,5000000,5.6,29,-2.857477025,0
Mars Needs Moms,7.24717,150000000,5.6,37,-2.84686818,0
Space Dogs,4.037707,25000000,6.3,82,-2.846153846,0
Bandslam,5.757056,20000000,5.4,82,-2.838043764,0
Ishtar,3.986985,55000000,4.3,40,-2.826038782,0
Red Scorpion,2.549325,16000000,4.9,17,-2.816393317,0
Two Lovers,8.032616,12000000,6.6,82,-2.811723719,0
Mary Reilly,12.866139,47000000,5.7,26,-2.796629272,0
The Warrior's Way,5.510805,42000000,6.3,32,-2.788026032,0
Hudson Hawk,9.782014,65000000,5.4,31,-2.775101521,0
The Mod Squad,3.826503,50000000,4.1,3,-2.770724846,0
Kalifornia,8.4337,9000000,6.5,58,-2.757466399,0
Legends of Oz: Dorothy's Return,6.660309,70000000,5.8,16,-2.750932308,0
Trespass,9.540381,36000000,5.4,71,-2.745135615,0
Equilibrium,12.671637,20000000,6.9,40,-2.731590432,0
The Grand Seduction,15.108283,12700000,6.7,61,-2.702604476,0
White Squall,9.568604,38000000,6.3,57,-2.689320388,0
Prison,11.582419,1300000,6.7,40,-2.665027741,0
Extreme Ops,2.947411,40000000,5,7,-2.649809868,0
Taxi to the Dark Side,6.415898,1000000,6.6,100,-2.640851814,0
Attack the Block,9.93263,14350531,6.3,90,-2.619591937,0
The Brothers Bloom,7.973126,20000000,6.8,68,-2.616136939,0
Barbarella,14.304205,9000000,5.7,74,-2.6,0
The Believer,8.128106,1500000,6.8,83,-2.597769383,0
The Swan Princess,8.910462,35000000,6.5,50,-2.581787246,0
Killing Zoe,4.948569,1500000,6.1,36,-2.580285516,0
From Beyond,7.522655,4500000,6.5,80,-2.568596352,0
The Interview,14.526049,44000000,6.1,52,-2.564879841,0
Barney's Version,7.524794,30000000,7.2,77,-2.548489698,0
The Virginity Hit,2.235068,2000000,4.6,27,-2.547948753,0
Hard Rain,6.363405,70000000,5.5,31,-2.522798318,0
Showdown in Little Tokyo,11.521011,8000000,5.7,33,-2.515622768,0
Romeo Is Bleeding,9.796318,11500000,5.7,27,-2.510823258,0
One Eight Seven,6.476493,20000000,6.5,30,-2.498901345,0
The Lost City of Z,21.791111,30000000,6.1,86,-2.498811978,0
White Girl,6.021721,700000,5.5,70,-2.495770118,0
The Gun in Betty Lou's Handbag,1.386549,13000000,4.1,14,-2.492829356,0
I Spit on Your Grave,12.805294,2000000,6.3,51,-2.491565251,0
Sunset,1.835663,16000000,5.6,21,-2.48246102,0
Screamers,12.758848,20000000,6.1,29,-2.459079522,0
Pawn Sacrifice,7.399209,19000000,6.7,72,-2.405921894,0
Auto Focus,7.936578,7000000,6.1,71,-2.394653711,0
Cosmopolis,6.087109,20500000,5.1,66,-2.380854403,0
Flyboys,5.460942,60000000,6.3,33,-2.370786517,0
Something Wicked This Way Comes,3.985819,19000000,6.6,59,-2.359212827,0
A Simple Wish,3.354869,28000000,5.5,25,-2.35528006,0
Rock Star,10.076223,57000000,6,53,-2.354539121,0
The Runaways,19.42051,10000000,6.3,69,-2.337994286,0
Bandidas,19.294832,35000000,5.8,56,-2.33450295,0
The Devil's Double,6.681211,19100000,6.5,54,-2.334373216,0
3000 Miles to Graceland,4.76448,62000000,5.8,14,-2.311934851,0
Table For Five,0.406505,8000000,4.8,67,-2.279084971,0
Whiteout,7.759722,40000000,5.3,7,-2.27706933,0
Get Carter,6.047757,63600000,4.8,11,-2.276156335,0
The Fifth Estate,10.850442,28000000,5.7,35,-2.272936741,0
"Bodies, Rest & Motion",2.296734,2500000,4.3,53,-2.271895854,0
Enemy Mine,9.802889,40000000,6.7,63,-2.251130926,0
Delirious,1.33724,18000000,5.5,29,-2.245098504,0
Mr. Saturday Night,0.987196,43000000,5.2,59,-2.233082707,0
The Perfect Game,1.830829,12500000,6.3,57,-2.222485836,0
Nixon,5.092,44000000,7.1,75,-2.215959344,0
The Illusionist,6.971611,18000000,7.2,73,-2.212890975,0
Sherrybaby,3.319349,2000000,6.3,75,-2.211272852,0
The Monster Squad,7.075534,12000000,6.8,56,-2.183032316,0
"Mystery, Alaska",4.512767,28000000,6,37,-2.150264347,0
Surveillance,6.804406,3500000,6,55,-2.137626144,0
The Limey,7.807741,10000000,6.6,92,-2.13175088,0
Down Terrace,1.585713,31192,6.3,86,-2.1192,0
Harley Davidson and the Marlboro Man,7.338188,23000000,6.1,25,-2.093590806,0
Little Boy,11.946728,20000000,7,25,-2.083583142,0
City of Ember,8.061467,55000000,6.2,54,-2.077947969,0
The Company Men,5.858803,15000000,6.4,67,-2.072148171,0
